"Id","StoreId","DayOfWeek","StartTime","EndTime","InfoTextDe","InfoTextEn","ShowInfoTextInsteadOfTime"
3193670,"374db163-6f3c-467b-a123-4a6e2b5f8dfb",3,"2021-10-14 11:00:00","2021-10-14 23:00:00",NULL,NULL,False
3193671,"374db163-6f3c-467b-a123-4a6e2b5f8dfb",2,"2021-10-14 11:00:00","2021-10-14 23:00:00",NULL,NULL,False
3193672,"374db163-6f3c-467b-a123-4a6e2b5f8dfb",1,"2021-10-14 11:00:00","2021-10-14 23:00:00",NULL,NULL,False
3083357,"b41e1805-2359-45fe-ad1c-7d8ce972c8e5",2,"2021-09-23 11:00:00","2021-09-23 14:00:00",NULL,NULL,False
3083358,"b41e1805-2359-45fe-ad1c-7d8ce972c8e5",2,"2021-09-23 16:00:00","2021-09-23 18:00:00",NULL,NULL,False
3123074,"4ba81f82-e03c-4a32-bf3f-78c4ba23a83a",0,"2021-09-30 12:00:00","2021-09-30 20:00:00",NULL,NULL,False
3192753,"d3140f8b-b275-4fee-a752-b836d936bc42",0,"2021-10-14 11:30:00","2021-10-14 22:00:00",NULL,NULL,False
3083359,"b41e1805-2359-45fe-ad1c-7d8ce972c8e5",3,"2021-09-23 11:00:00","2021-09-23 14:00:00",NULL,NULL,False
3083360,"b41e1805-2359-45fe-ad1c-7d8ce972c8e5",3,"2021-09-23 16:00:00","2021-09-23 18:00:00",NULL,NULL,False
3083361,"b41e1805-2359-45fe-ad1c-7d8ce972c8e5",4,"2021-09-23 11:00:00","2021-09-23 14:00:00",NULL,NULL,False
3083362,"b41e1805-2359-45fe-ad1c-7d8ce972c8e5",4,"2021-09-23 16:00:00","2021-09-23 18:00:00",NULL,NULL,False
3083363,"b41e1805-2359-45fe-ad1c-7d8ce972c8e5",5,"2021-09-23 16:00:00","2021-09-23 18:00:00",NULL,NULL,False
3074118,"df14aa16-9658-4096-b295-e81d4bbce1ed",3,"2021-09-23 11:00:00","2021-09-23 21:00:00",NULL,NULL,False
3192754,"d3140f8b-b275-4fee-a752-b836d936bc42",6,"2021-10-14 11:30:00","2021-10-14 22:00:00",NULL,NULL,False
3074119,"df14aa16-9658-4096-b295-e81d4bbce1ed",2,"2021-09-23 11:00:00","2021-09-23 21:00:00",NULL,NULL,False
3074120,"df14aa16-9658-4096-b295-e81d4bbce1ed",1,"2021-09-23 11:00:00","2021-09-23 21:00:00",NULL,NULL,False
3074127,"99d15c05-386f-480e-a535-17ff1baee79c",5,"2021-09-23 11:00:00","2021-09-23 12:00:00",NULL,NULL,False
3123075,"4ba81f82-e03c-4a32-bf3f-78c4ba23a83a",5,"2021-09-30 11:00:00","2021-09-30 20:00:00",NULL,NULL,False
3123076,"4ba81f82-e03c-4a32-bf3f-78c4ba23a83a",4,"2021-09-30 11:00:00","2021-09-30 20:00:00",NULL,NULL,False
3123077,"4ba81f82-e03c-4a32-bf3f-78c4ba23a83a",3,"2021-09-30 11:00:00","2021-09-30 20:00:00",NULL,NULL,False
3074128,"99d15c05-386f-480e-a535-17ff1baee79c",4,"2021-09-23 11:00:00","2021-09-23 12:00:00",NULL,NULL,False
3123078,"4ba81f82-e03c-4a32-bf3f-78c4ba23a83a",2,"2021-09-30 11:00:00","2021-09-30 20:00:00",NULL,NULL,False
3082364,"a9240c85-8969-4e57-9244-807c76e729dd",5,"2021-09-23 12:00:00","2021-09-23 18:00:00",NULL,NULL,False
3074129,"99d15c05-386f-480e-a535-17ff1baee79c",3,"2021-09-23 11:00:00","2021-09-23 12:00:00",NULL,NULL,False
3192755,"d3140f8b-b275-4fee-a752-b836d936bc42",5,"2021-10-14 11:30:00","2021-10-14 22:00:00",NULL,NULL,False
3079209,"c0700119-4f1e-4666-935e-4c435fd778da",0,"2021-09-23 12:00:00","2021-09-23 16:00:00",NULL,NULL,False
3123079,"4ba81f82-e03c-4a32-bf3f-78c4ba23a83a",1,"2021-09-30 11:00:00","2021-09-30 20:00:00",NULL,NULL,False
3123080,"6567a119-2d12-45a7-8f2d-caa60a0bd431",0,"2021-09-30 11:30:00","2021-09-30 14:00:00",NULL,NULL,False
3123081,"6567a119-2d12-45a7-8f2d-caa60a0bd431",0,"2021-09-30 17:00:00","2021-09-30 23:59:00",NULL,NULL,False
3123082,"6567a119-2d12-45a7-8f2d-caa60a0bd431",6,"2021-09-30 11:30:00","2021-09-30 14:00:00",NULL,NULL,False
3123083,"6567a119-2d12-45a7-8f2d-caa60a0bd431",6,"2021-09-30 17:00:00","2021-09-30 23:59:00",NULL,NULL,False
3123084,"6567a119-2d12-45a7-8f2d-caa60a0bd431",5,"2021-09-30 17:00:00","2021-09-30 23:59:00",NULL,NULL,False
3082365,"a9240c85-8969-4e57-9244-807c76e729dd",6,"2021-09-23 10:00:00","2021-09-23 21:00:00",NULL,NULL,False
3192756,"d3140f8b-b275-4fee-a752-b836d936bc42",4,"2021-10-14 11:30:00","2021-10-14 22:00:00",NULL,NULL,False
3178121,"a7162400-a229-4b33-9565-5df5a9622287",5,"2021-10-11 09:00:00","2021-10-11 14:00:00",NULL,NULL,False
3123085,"6567a119-2d12-45a7-8f2d-caa60a0bd431",4,"2021-09-30 17:00:00","2021-09-30 23:59:00",NULL,NULL,False
3082366,"a9240c85-8969-4e57-9244-807c76e729dd",0,"2021-09-23 10:00:00","2021-09-23 21:00:00",NULL,NULL,False
3123086,"6567a119-2d12-45a7-8f2d-caa60a0bd431",3,"2021-09-30 17:00:00","2021-09-30 23:59:00",NULL,NULL,False
3123087,"d67f44d4-2b1c-4aa6-b596-f5f4f61a1aae",5,"2021-09-30 11:30:00","2021-09-30 14:30:00",NULL,NULL,False
3123088,"d67f44d4-2b1c-4aa6-b596-f5f4f61a1aae",1,"2021-09-30 11:30:00","2021-09-30 14:30:00",NULL,NULL,False
3074130,"99d15c05-386f-480e-a535-17ff1baee79c",2,"2021-09-23 11:00:00","2021-09-23 12:00:00",NULL,NULL,False
3178122,"a7162400-a229-4b33-9565-5df5a9622287",4,"2021-10-11 09:00:00","2021-10-11 14:00:00",NULL,NULL,False
3178123,"a7162400-a229-4b33-9565-5df5a9622287",3,"2021-10-11 09:00:00","2021-10-11 14:00:00",NULL,NULL,False
3078068,"258321ee-3f56-48c1-98aa-ffcab060a840",0,"2021-09-23 15:00:00","2021-09-23 22:30:00",NULL,NULL,False
3178124,"a7162400-a229-4b33-9565-5df5a9622287",2,"2021-10-11 09:00:00","2021-10-11 14:00:00",NULL,NULL,False
3074131,"99d15c05-386f-480e-a535-17ff1baee79c",1,"2021-09-23 11:00:00","2021-09-23 12:00:00",NULL,NULL,False
3178125,"a7162400-a229-4b33-9565-5df5a9622287",1,"2021-10-11 09:00:00","2021-10-11 14:00:00",NULL,NULL,False
3192757,"d3140f8b-b275-4fee-a752-b836d936bc42",3,"2021-10-14 11:30:00","2021-10-14 22:00:00",NULL,NULL,False
3075031,"ac45f301-cfca-4498-b03c-9dafbd5c7a12",2,"2021-09-23 11:30:00","2021-09-23 12:30:00",NULL,NULL,False
3079210,"c0700119-4f1e-4666-935e-4c435fd778da",6,"2021-09-23 12:00:00","2021-09-23 16:00:00",NULL,NULL,False
3078069,"258321ee-3f56-48c1-98aa-ffcab060a840",6,"2021-09-23 17:00:00","2021-09-23 22:30:00",NULL,NULL,False
3192758,"d3140f8b-b275-4fee-a752-b836d936bc42",2,"2021-10-14 11:30:00","2021-10-14 22:00:00",NULL,NULL,False
3192759,"d3140f8b-b275-4fee-a752-b836d936bc42",1,"2021-10-14 11:30:00","2021-10-14 22:00:00",NULL,NULL,False
3231393,"00ec9072-e559-479d-a2cc-f3d0e7143c93",0,"2021-10-22 08:15:00","2021-10-22 20:45:00",NULL,NULL,False
3231394,"00ec9072-e559-479d-a2cc-f3d0e7143c93",6,"2021-10-22 08:15:00","2021-10-22 20:45:00",NULL,NULL,False
3231395,"00ec9072-e559-479d-a2cc-f3d0e7143c93",5,"2021-10-22 06:15:00","2021-10-22 20:45:00",NULL,NULL,False
3231396,"00ec9072-e559-479d-a2cc-f3d0e7143c93",4,"2021-10-22 06:15:00","2021-10-22 20:45:00",NULL,NULL,False
3231397,"00ec9072-e559-479d-a2cc-f3d0e7143c93",3,"2021-10-22 06:15:00","2021-10-22 20:45:00",NULL,NULL,False
3231398,"00ec9072-e559-479d-a2cc-f3d0e7143c93",2,"2021-10-22 06:15:00","2021-10-22 20:45:00",NULL,NULL,False
3080362,"680fba55-e20d-4b73-906d-64434e317193",0,"2021-09-23 17:00:00","2021-09-23 20:00:00",NULL,NULL,False
3080363,"680fba55-e20d-4b73-906d-64434e317193",0,"2021-09-23 11:00:00","2021-09-23 14:00:00",NULL,NULL,False
3075032,"ac45f301-cfca-4498-b03c-9dafbd5c7a12",3,"2021-09-23 07:30:00","2021-09-23 09:00:00",NULL,NULL,False
